Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,10/15/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0421612,49.82157878,35.5794924,34.87671982,47.0162336,49.04814789,48.03763144,50.19315354,50.79515947,48.8347261,145.1017348,
United Arab Emirates,ARE,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.93258453,34.02944156,54.52392038,45.37491554,26.72818056,27.05030997,49.8623282,50.86573641,54.40527181,60.01885445,60.32907482,54.91064692,58.69967517,
Argentina,ARG,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,1.466159452,3.09110069,6.237855196,5.138774874,1.774639091,1.153990039,1.333238997,1.480174949,2.302540941,1.434117268,1.276373515,2.022505643,4.172755007,2.557650808,9.824847958,8.139871742,18.60901869,14.32069608,14.64307396,16.42196989,20.23221072,15.16409613,19.6977247,16.12904122,12.42441526,16.95693922,27.42805088,24.65345574,23.94635989,22.03333915,19.8483842,11.02184322,13.73818636,15.08632035,8.220069461,6.273966253,9.619994839,11.42690327,9.438368633,11.40762993,16.91936357,8.845656715,8.760672069,
Armenia,ARM,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,28.9099422,39.83878334,30.78518262,21.43042324,30.52360215,25.84299843,32.9570857,65.53612927,81.64121165,58.40804938,46.89895404,34.73097845,44.51827954,41.60110453,65.62877247,67.92589959,66.77761493,78.06025427,68.05967418,82.45906,110.0942636,89.78179886,99.14230924,96.31016044,125.5186873,126.7616217,115.9512293,146.8871764,152.1879735,64.88372527,136.0101628,126.9035648,85.7901042,89.69843546,86.66232656,87.81755705,87.82190818,104.9341656,113.4066799,88.06725995,106.8154831,
Austria,AUT,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,3.245221523,3.491715167,2.89051907,28.12055575,2.813573249,2.383665517,2.229390031,2.118097389,2.118869189,2.185309196,6.631753724,6.72115079,6.393476327,7.522397896,18.2280178,15.81113452,13.94287215,10.12399512,13.7820036,14.15959694,12.70227269,13.4518324,17.30344458,1.191322798,15.20493141,15.21100286,12.77218044,15.73647047,21.59853333,29.17083368,39.95623144,57.37236242,60.83189965,17.72942431,28.50673837,32.15980931,19.77859034,25.89893616,27.36107195,21.89845636,25.16368774,30.60937652,36.01247191,25.64212585,29.8216053,
Azerbaijan,AZE,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.068370373,0.070286544,,,,,,,,,,,,,,,,,,,,,
Burundi,BDI,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,13.70333163,13.21830503,12.42315519,12.35317452,11.80787178,7.910702719,7.991195017,9.300270179,12.36348469,14.80757002,24.19352021,31.10914623,27.87794521,36.22081004,45.59467671,31.87480296,33.78141771,27.30405014,34.6987838,34.3529693,35.2129443,42.55063043,54.18674998,94.39498987,71.3265245,77.25529979,70.11164719,49.60244249,54.68261449,74.14382269,74.81918978,97.11948338,81.97598501,32.455494,53.96712928,55.87387037,43.87693792,60.36446033,71.75899896,70.79508346,89.70175649,79.45862479,86.90021348,59.16747309,,
Benin,BEN,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.399302695,3.020255981,5.077049961,15.89524323,5.742252402,4.060333874,3.045782412,4.107529953,1.811958934,27.21299215,,,4.751541126,5.361123816,10.96916578,12.79156007,20.42289329,36.10097419,37.08045269,,,,,31.80424672,34.51138786,28.24067884,,
Bulgaria,BGR,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11080629,0.498070776,0.306269137,0.045549855,,0.96016849,0.75209194,0.974570582,0.57954674,4.399480321,8.300408443,10.71932596,17.0262538,30.03207503,48.79542954,16.31261683,16.64097361,14.64630518,14.38760557,,,,,,,,,
Bahrain,BHR,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.21397887,123.3729769,109.4675704,108.1230748,73.09305827,73.5222293,78.01169507,86.92507294,102.9709938,108.7426938,114.1457078,124.6587667,77.58323006,70.89752979,78.01313876,57.65084288,,,66.09476413,61.84913614,60.13680278,61.27596651,58.06440475,69.69002906,
"Bahamas, The",BHS,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Belize,BLZ,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,BMU,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.66278616,69.50174746,54.68314256,69.28658016,41.23885127,43.6466853,49.93314924,46.32888485,31.29873216,23.42579143,26.72074123,22.20124015,26.85128786,26.31999153,,,,,,,
Bolivia,BOL,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,BRA,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.50491094,33.29403654,24.95489983,42.01176266,49.35579864,53.23360426,64.1225727,98.04069955,34.90723993,80.21786503,69.97082255,46.97407574,49.79119987,41.26708486,34.36060222,27.2184107,42.24307215,46.28178841,48.62545122,64.53901348,
Barbados,BRB,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.84322819,23.94316224,22.17527037,32.39656841,45.42936318,62.24487181,68.97502149,55.77806831,60.15059748,,,,,,,,,48.26821192,98.06806227,,,,,64.10973085,67.3141824,69.627052,65.23325014,
Brunei Darussalam,BRN,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,BWA,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.495078373,6.228677698,8.404411066,6.773860191,12.21441773,15.11253983,19.18181296,16.88932846,,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,82.19842022,82.18820532,98.30180751,104.3282337,,66.05696642,75.65289417,69.40107062,80.29470083,89.25856561,94.03781964,88.06594621,96.16690327,77.2277822,83.33765565,77.30577598,103.178539,99.5809125,111.2098728,139.9733778,154.7901783,171.2416888,214.2157022,103.8456481,83.55280094,117.2474311,102.0000614,115.0822572,126.7519943,129.2905915,149.2548938,66.72461338,122.3373113,134.5672585,106.9451379,112.647542,114.4333054,116.1842027,102.3950304,130.4453844,143.4687802,112.9141127,,
Central Europe and the Baltics,CEB,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.908177904,9.22058182,10.37396733,10.11981503,12.86243935,13.45829575,10.96564045,13.99919242,15.00405157,22.84740143,24.84151589,34.38279584,41.38896124,15.35989256,24.68876882,27.23209297,19.01088085,,,,,,,,21.56832191,
Switzerland,CHE,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,25.90773114,31.43158143,42.04322846,38.31343786,39.02671705,35.90583814,35.18282343,34.6836301,39.60062519,37.70735804,78.04399578,83.27692515,67.04328418,67.05360057,84.5887551,61.08291763,72.64170227,71.42304591,102.4687526,97.37916786,116.1944713,121.2646953,200.8031224,233.5910708,233.943703,291.2332043,189.2665878,203.2624324,206.0278394,210.3435943,229.6848819,281.3819142,265.6016005,158.8009403,196.6156527,210.5845128,155.7391482,184.634493,223.7749442,210.8503909,223.4850387,209.047577,248.0323369,204.3791591,260.9158141,
Channel Islands,CHI,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.67673454,3.949708499,3.961051974,7.285525866,3.989393792,3.100687486,2.154637414,6.087270855,15.29261628,,,,,,,,,,,,,,
Chile,CHL,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.37175474,70.17790037,90.94406736,119.3689348,99.29290118,84.53570172,84.80774309,63.57906824,90.75971282,77.57519507,79.33189676,71.45006916,114.386505,117.8548604,111.0019588,112.6823475,122.6399255,73.37400542,133.843646,156.4028141,107.1504244,117.2965516,95.24604545,89.52330191,78.03899386,84.84254835,106.3638733,84.0680028,72.18510144,
China,CHN,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.89697574,22.8972279,17.57910087,41.62064045,126.1530859,38.7171362,70.03843339,66.16940091,45.18450768,43.33422477,41.26411763,57.32273264,74.0223319,65.17010383,70.76342846,45.51970501,59.3708573,
Cote d'Ivoire,CIV,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",COD,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",COG,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,COL,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.68005072,34.77590246,49.44953363,36.21838422,60.46524477,72.75945164,60.09828619,70.66222601,53.04493553,38.50459641,29.28817519,36.70772175,38.9495245,31.13251019,40.77799102,
Comoros,COM,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,CRI,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.743198654,,5.357723178,6.736019031,6.552623611,9.607483742,16.2609978,,,,3.026806833,8.410080093,7.570785211,8.31674176,8.158174687,6.223939306,4.804864369,3.877042487,3.545490649,,,,,5.111446144,5.148263241,,3.589458354,
Caribbean small states,CSS,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.737170007,3.694164765,3.466943245,3.94692619,5.725371246,54.36641957,46.75450145,,,6.703641177,,,,,
Cyprus,CYP,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.49714533,71.97409086,28.68743527,39.57878181,26.55909014,10.35106636,7.989866995,8.80608015,17.42900378,13.6123139,12.02116052,12.46716581,13.27413895,17.44323799,
Czech Republic,CZE,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.286169769,12.79390523,15.36689734,21.27033991,17.50563469,15.68766976,16.31469186,15.80898651,12.06999464,12.5213934,15.56576848,22.56702731,25.59893851,28.54177498,36.41825507,17.35643783,,,,,,,,,,,,
Germany,DEU,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,10.47625037,10.27404184,10.84118585,11.30250542,9.008949289,7.546707358,7.818309158,8.879110479,10.75271904,10.80774621,24.33793028,24.62842925,16.82849338,17.90330371,26.10321374,20.05511963,19.82991264,15.42017566,21.32434495,22.63832924,22.32869692,26.62067257,37.30726136,48.87257832,65.2704531,65.37046483,55.12806235,33.1627931,43.22798956,42.52178202,42.24243143,54.7293486,61.5333771,29.77403066,38.03516137,42.09570081,31.63383823,42.1369283,51.86818456,44.76248199,51.0571336,49.4994353,61.71149618,44.43983006,54.55995281,
Djibouti,DJI,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,10.1298336,10.76824206,9.601393013,8.506064637,7.375312159,7.793171085,9.975400882,9.17904136,17.40792797,12.8382871,24.09300182,19.71163079,18.59017236,23.26546752,35.78351422,28.2555276,32.17281387,21.24615698,27.88729714,30.09900847,30.38910744,37.88216764,54.03600982,55.86439857,54.75935541,68.11616647,51.6686417,42.96459241,55.77403589,60.20927793,,,,,,,,,,,,,,,,
Dominican Republic,DOM,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56873966,0.520720219,0.345515628,0.242864883,0.210233385,0.163015048,0.137335585,0.080578152,0.071614509,0.053400064,0.065634833,0.065389201,0.09838953,0.07979309,0.084305056,0.078709968,0.08676963,0.258807525,0.21097158,0.213756327,,
East Asia & Pacific (excluding high income),EAP,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.8594864,32.59834475,27.63100592,47.72074016,115.7282189,37.93993227,68.41297343,67.89119833,49.15227132,49.60342986,46.33773787,60.58290874,72.92041961,66.04282626,72.69391604,49.41509557,61.3618207,
Early-demographic dividend,EAR,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.22352942,34.55110704,25.03406413,38.77544681,27.28580764,22.16223136,23.16652238,35.10036017,44.62477434,50.28961789,60.53544175,81.33397707,35.11822664,63.58856816,65.55593869,45.50483178,53.12623465,53.60382513,56.08266237,51.81934448,53.91752854,65.34171952,56.72298992,82.98600931,
East Asia & Pacific,EAS,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,4.567061598,28.66064395,37.18024966,36.75814244,34.45990418,41.73960183,44.55312298,61.0579865,81.11149763,100.1889087,113.1652546,123.9221237,82.2835264,76.78780174,57.5267261,74.43399576,77.5724003,68.25370585,70.24288302,51.94343551,65.87228639,103.1801388,70.56718726,63.62747807,60.49744421,70.97193888,75.40733576,86.25931166,102.4982272,132.7811805,60.72920575,92.32981696,94.7452398,70.65878472,75.52895472,82.42707945,89.72378784,99.76903737,94.49517891,110.9333831,83.35940796,97.50929998,
Europe & Central Asia (excluding high income),ECA,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.07372501,49.73288108,31.15848863,35.45047628,28.52642463,19.55500133,25.62612238,36.61350705,33.32355937,27.8717462,,
